"x","y","wifi","4g"
-3.681299301715857,-13.488705822445091,4.88,33.1
-3.403546692010718,-13.71848341731432,2.89,33.1
-3.180288756725613,-14.042500699396015,1.53,33.1
-3.1992422013186914,-14.426921272418564,3.77,33.1
-3.436551168495239,-14.714078856394709,3.56,33.1
-3.720894507898708,-14.916045940531884,1.39,33.1
-4.086196124938685,-15.131436655522585,5.39,33.1
-4.441862428621168,-15.309594429807085,3.28,33.2
-4.763140337164545,-15.466416741568663,3.29,33.2
-4.772681382883824,-15.47366589614656,3.36,33.2
-4.768977216374636,-15.47252535907408,4.31,33.2
-4.768977216374636,-15.47252535907408,4.35,33.2
-4.772326126230024,-15.47212240046239,4.83,33.2
-4.771069515101902,-15.472273602584124,3.80,33.2
-4.771383330359349,-15.474881659535754,2.94,33.2
-4.771383330359349,-15.474881659535754,2.99,33.2
-4.771383330359349,-15.474881659535754,1.67,33.2
-4.771122377098391,-15.472712928251525,3.97,33.3
-4.771122377098391,-15.472712928251525,4.44,33.3
-4.771122377098391,-15.472712928251525,3.26,33.3
-4.769254266799462,-15.471174921694391,3.24,33.3
-4.771311952646976,-15.47122353535632,3.29,33.3
-5.16855274516913,-15.660040806901211,3.29,33.3
-5.495419710459931,-15.85042733173869,3.86,33.4
-5.852076760686666,-16.045680131934596,3.12,33.4
-6.195360250041915,-16.208992559073387,5.80,33.4
-6.543661625374066,-16.367182533733843,3.35,33.4
-6.913093559825047,-16.51997265286626,3.29,33.4
-7.0699859956176585,-16.578954327876268,3.08,33.5
-7.081527566757039,-16.584258036154726,3.08,33.5
-7.194901878674198,-16.63504142449913,2.79,33.5
-7.281460823150923,-16.74369043188321,1.19,33.5
-7.287072818368977,-16.892160033959968,4.83,33.5
-7.191638665183833,-17.00549100162139,5.67,33.5
-6.825785010213358,-16.969082244112712,1.34,33.5
-6.456066807597544,-16.850372934513224,3.61,33.5
-6.1148922014476,-16.688237702560304,3.48,33.5
-5.766877221560474,-16.500450309911926,3.30,33.6
-5.417112407141497,-16.30831492025292,3.35,33.6
-5.093476546442857,-16.13272185989249,3.91,33.6
-4.7660827723790264,-15.92828547771514,3.33,33.6
-4.426337437121272,-15.748589185187319,7.10,33.6
-4.048258616035967,-15.568604805708274,4.48,33.6
-3.7340154359829527,-15.330836850983932,3.66,33.6
-3.4234701950112045,-15.057552359564808,2.96,33.6
-3.1381180805102082,-14.804590392808066,4.41,33.6
-2.8332975627029664,-14.544172885722016,2.91,33.6
-2.488329402649549,-14.291087748586957,3.37,33.6
-2.1500933779734708,-14.230149744860153,3.90,33.6
-1.7708035114160192,-14.16006518118498,3.88,33.7
-1.5626122444622377,-14.119229874484803,3.53,33.7
-1.5349798444995466,-14.107741060467799,14.7,33.7
-1.1861235168828204,-14.055906070194153,9.62,33.7
-0.8299480058722795,-14.119928923805821,3.27,33.7
-0.6127140576800003,-14.352274813966964,4.54,33.7
-0.5014515795352796,-14.716400809020325,3.24,33.7
-0.5041029904626271,-15.08382156269997,14.6,33.7
-0.6048709504285212,-15.419051868748443,2.91,33.8
-0.9033575712933244,-15.659898883638641,2.60,33.8
-1.2393377804850454,-15.817357130250961,2.51,33.8
-1.3301819005488391,-15.917483756817429,2.94,33.8
-1.3301819005488387,-15.917483756817429,3.30,33.8
-1.3301819005488391,-15.917483756817429,1.51,33.8
-1.3301819005488391,-15.917483756817429,4.01,33.8
-1.3301819005488396,-15.917483756817429,3.32,33.8
-1.3301819005488391,-15.917483756817429,3.47,33.8
-1.3301819005488391,-15.917483756817429,1.32,33.9
-1.3301819005488391,-15.917483756817429,3.19,33.9
-1.3301819005488391,-15.917483756817429,4.45,33.9
-1.3301819005488396,-15.917483756817429,3.83,33.9
-1.3780690633478905,-15.94450284846075,2.50,33.9
-1.3802629333350942,-15.937016847421159,5.18,33.9
-1.3804242512019278,-15.939126891211288,3.96,33.9
-1.4192188948288145,-16.03538480163811,4.69,33.9
-1.3072094827468197,-16.415073482910074,6.56,34.0
-1.1315538742245268,-16.754591612441537,5.78,34.0
-0.860475719221407,-17.067777047971056,3.40,34.0
-0.4593763121140726,-17.08999940661128,4.48,34.0
-0.09697921929916342,-16.99897086154994,1.90,34.0
0.2224122257247787,-16.81326868568084,3.29,34.0
0.5841139898195573,-16.856823878439346,2.78,34.1
0.7611088889189865,-17.132072357311635,2.87,34.1
0.9815776792784225,-17.46112563120887,1.57,34.1
1.2332971589870132,-17.80233032381602,3.47,34.1
1.4467446289046588,-18.11790372223561,2.94,34.1
1.6714168049538873,-18.438252533039183,2.93,34.1
1.8772048230019438,-18.758848616251647,1.36,34.2
2.084031510605791,-19.086147646195222,3.24,34.2
2.2905658097472545,-19.40562152805979,4.40,34.2
2.4951362603931857,-19.73889061280434,2.42,34.2
2.658619925799015,-19.98785940248066,5.46,34.2
2.6584249150886095,-19.98799554805426,3.89,34.2
2.6164794933038884,-19.934075820964786,2.99,34.2
2.4844295975737074,-19.70540234946681,3.27,34.3
2.3437685211032147,-19.502575779690154,3.07,34.3
2.2598217269963863,-19.277092671355746,3.37,34.3
2.1017984832265055,-19.067725872509925,3.85,34.3
1.9340737000954196,-18.870137172202902,3.40,34.3
1.7316772666652946,-18.65697479357023,3.44,34.4
1.672341380580077,-18.589074671737556,3.45,34.4
1.6410242855217048,-18.593838199130506,3.50,34.4
1.2747558106466128,-18.53921208926375,5.33,34.4
0.8768061923358106,-18.6257901340159,4.16,34.5
0.5597597802566567,-18.79750635503337,1.40,34.5
0.35627636416103137,-19.146691208861263,3.02,34.5
0.378621244934255,-19.52073207270004,3.34,34.5
0.5509157810178356,-19.91716781717384,1.84,34.5
0.771912477748498,-20.23177749891363,1.82,34.5
0.9713171651517456,-20.571253984103944,3.35,34.6
1.0614535250330777,-20.810784696482195,3.76,34.6
1.0672084645162694,-20.78211706728823,4.03,34.6
1.0529898893193894,-20.779497735588667,3.50,34.6
0.8862743931632497,-20.64674000918606,3.61,34.6
0.6583944039928102,-20.33033619744841,3.34,34.7
0.43964524096769875,-20.016772070713685,3.15,34.7
0.19001589931751806,-19.69815630286466,3.26,34.8
-0.09952172220415623,-19.440765818933578,4.11,34.8
-0.5053670502144749,-19.35234732387775,3.36,34.8
-0.8801687797344719,-19.416339225175427,3.26,34.9
-1.2383638265728956,-19.563772069128426,4.52,34.9
-1.5806219517592193,-19.724678507932904,2.98,35.0
-1.9423546769067936,-19.88236115809929,3.48,35.0
-2.307064684820772,-20.09061059364972,5.05,35.0
-2.670176533556131,-20.297268157355788,3.94,35.0
-3.0156314817313383,-20.488656632813377,4.34,35.1
-3.3598503163556774,-20.682239553908857,4.74,35.1
-3.6777098926451117,-20.896833338812396,3.81,35.1
-3.9811140748997946,-21.14168929728908,10.2,35.2
-4.187213600309105,-21.473003915626784,1.39,35.2
-4.168114164536677,-21.872125425135913,2.99,35.2
-3.9886869062377834,-22.22953141422796,2.83,35.2
-3.7771771879664993,-22.56223544237072,2.96,35.2
-3.698637026497347,-22.69243347366861,3.28,35.2
-3.7039520214446604,-22.67413773165042,3.11,35.2
-3.7237356598660334,-22.690795257282588,3.24,35.2
-4.005092692777081,-22.90211673375014,6.39,35.2
-4.313144903325682,-22.740302318181676,2.73,35.2
-4.538991703519287,-22.444639462800705,3.40,35.3
-4.711932733859223,-22.10155416591148,3.51,35.3
-4.878998717029171,-21.715304179074643,3.43,35.3
-4.956210344365406,-21.346865954247484,3.19,35.3
-4.942795240265392,-20.986099878612634,3.24,35.3
-4.9821156654919,-20.61180779297406,3.46,35.4
-5.17537629801026,-20.283405983383954,2.90,35.4
-5.370474034951375,-19.957375832382603,3.36,35.4
-5.571226952889871,-19.61340755829419,3.32,35.4
-5.761532307936981,-19.269188520179448,3.78,35.4
-5.785744762655325,-19.236824588406137,3.39,35.4
-5.781381921110325,-19.24383740144306,3.00,35.5
-5.613097931715094,-19.435967477837856,1.79,35.5
-5.527078180385499,-19.584280844268157,3.65,35.5
-5.422146211035774,-19.82146440946873,4.65,35.5
-5.320375469168645,-20.065328499391878,3.43,35.5
-5.297954738296758,-20.314141687741458,1.46,35.5
-5.291138101295978,-20.354343512627253,1.47,35.5
-5.139810489597351,-20.265161465990573,3.41,35.5
-5.009664371453074,-20.279145017583055,6.18,35.5
-4.725101303636123,-20.33683248828528,1.46,35.5
-4.35932606713024,-20.1846835882953,3.38,35.5
-4.018237360081377,-20.02071175936285,3.42,35.6
-3.656648795760719,-19.858050558385344,6.34,35.6
-3.38187500292776,-19.608761713170168,2.89,35.6
-3.3839345571360093,-19.201880579883444,1.46,35.6
-3.4953316928889584,-18.819412889715316,2.70,35.6
-3.6396480804455686,-18.448491231032683,2.63,35.6
-3.83703253511079,-18.12406696860718,3.50,35.6
-3.9790377328894646,-17.727326386129953,2.82,35.6
-4.153892748662525,-17.395439597163048,2.04,35.7
-4.255605981062528,-17.24375147872398,1.64,35.7
-4.270311330390241,-17.28911419183128,3.47,35.7
-4.191342843454247,-17.237622099218044,3.04,35.7
-4.133403689082861,-17.228690475257785,3.29,35.7
-3.9736774814371234,-17.530519877258495,2.96,35.7
-3.8530990028643144,-17.89509678911046,3.36,35.7
-3.668829954229394,-18.25092647421917,1.34,35.7
-3.5149262245816653,-18.582372725961797,2.71,35.7
-3.3723233674198383,-18.91723220844227,1.40,35.8
-3.2697271665344525,-19.28859671785633,2.63,35.8
-3.1188458589507126,-19.64869472490851,2.58,35.8
-2.9361459483475905,-20.030521799885314,2.83,35.8
-2.734220736702846,-20.360453725356642,3.36,35.8
-2.515920570677852,-20.668551425585967,3.51,35.9
-2.51464199688185,-20.669792615780437,2.97,35.9
-2.413238894394836,-20.78034795600339,2.73,35.9
-2.4896396982190465,-20.749469892449486,1.72,35.9
-2.7287131178331423,-20.649719792744513,4.31,35.9
-2.7225922461395937,-20.621958857111892,3.50,36.0
-2.6140185260472624,-20.570888017926983,3.19,36.0
-2.394749428273917,-20.263374275920015,3.28,36.0
-2.151548924922839,-19.955474152243497,2.81,36.0
-1.8051413989670901,-19.739451135995623,9.74,36.0
-1.468364649407427,-19.54642143573262,1.75,36.0
-1.1069673962597433,-19.4145703359625,1.60,36.0
-0.7496324015042315,-19.280510220423903,4.26,36.0
-0.3848695055863618,-19.3435123841266,2.61,36.0
-0.08946335213191459,-19.590977088983177,1.45,36.1
0.15730446654756447,-19.882264053482345,2.94,36.1
0.3433803914704764,-20.21436684824119,2.84,36.1
0.5595948144853549,-20.548046316324275,2.91,36.1
0.837643379008902,-20.812668230167045,2.47,36.2
0.9309513028944846,-20.853200887984585,11.5,36.2
1.037988144868594,-20.799036122844814,4.16,36.2
0.9678533751255745,-20.501519227143838,4.44,36.2
0.7544305572071109,-20.163949485815863,3.41,36.2
0.5660383403813163,-19.822352777244568,3.39,36.3
0.3769942643598927,-19.46722187769797,4.46,36.3
0.3364400548385984,-19.07917863524657,1.25,36.3
0.5636318263109747,-18.792016178667097,1.39,36.3
0.9152109476982835,-18.624072813491747,2.96,36.3
1.2921989132898068,-18.541219931288676,3.03,36.3
1.6457870915861275,-18.65820698679769,1.93,36.3
1.9010982738661308,-18.962977677291473,1.46,36.4
2.0823039431124224,-19.29288898670307,1.74,36.4
2.26190935178443,-19.63789172762349,2.66,36.4
2.497479081313542,-19.953629133022933,1.25,36.4
2.5943952563026276,-20.094528125525926,1.37,36.4
2.4968918330826297,-20.186716442266878,3.37,36.4
2.47945754272043,-20.137232998889218,4.19,36.5
2.487595034800843,-20.132893898385348,3.60,36.5
2.4867340290620845,-20.13448468371937,5.01,36.5
2.4867340290620845,-20.13448468371937,1.38,36.5
2.4867340290620845,-20.13448468371937,1.25,36.6
2.4867340290620845,-20.13448468371937,2.82,36.6
2.4837899652517343,-20.13524697202303,3.78,36.6
2.4325363577994654,-20.249210023800966,2.91,36.6
2.8807378500038765,-20.17643767118788,0.972,36.7
2.884760908702135,-20.175325323536146,5.80,36.7
3.140136217853695,-20.00983165760423,1.75,36.7
3.2584638100631547,-19.678696481629423,5.30,36.7
3.1882025337244393,-19.28816563975645,2.97,36.7
3.159483942738725,-19.05410568336325,14.6,36.7
3.160557629563809,-19.055657968496746,3.75,36.7
3.1605576295638085,-19.055657968496742,3.07,36.8
3.160557629563809,-19.055657968496746,3.06,36.8
3.1605561715361725,-19.055737669133684,1.38,36.8
3.1605561715361725,-19.055737669133684,4.92,36.9
3.1605561715361725,-19.055737669133684,2.87,36.9
3.1605561715361725,-19.055737669133684,3.75,36.9
3.160556171536172,-19.055737669133684,3.47,36.9
3.1605561715361725,-19.055737669133684,4.03,36.9
3.1605561715361725,-19.055737669133684,3.03,36.9
3.1605561715361725,-19.055737669133684,4.52,36.9
3.1605561715361725,-19.055737669133684,3.47,37.0
3.1605561715361725,-19.055737669133684,3.05,37.0
3.115995723938064,-18.778949918733005,3.00,37.0
3.0563823686469336,-18.389957062224617,5.30,37.0
3.127101848381457,-18.01351546636785,35.6,37.0
3.3589847349507975,-17.69751150138515,3.03,37.0
3.704277153148694,-17.557464046194937,12.1,37.1
4.059881945056074,-17.483467491009904,3.09,37.1
4.39397790653887,-17.557781853265574,3.03,37.1
4.6588611888277685,-17.824513697512693,6.57,37.1
4.779323883928958,-18.156202268880463,5.81,37.1
4.892920221537217,-18.517464677785938,12.7,37.1
4.927440841546675,-18.610882020680588,2.77,37.1
5.112702883739282,-18.48772907906911,3.02,37.1
5.122303027147595,-18.14484611253092,11.9,37.1
5.104164722020635,-17.77656811471948,5.16,37.1
5.227699482211065,-17.534403456533024,3.10,37.2
5.2515543527191415,-17.157771509696687,1.63,37.2
5.050004839030522,-16.825259436896378,11.3,37.2
4.814761064448909,-16.59289647682688,8.73,37.2
4.154780091688583,-14.821836491671394,3.11,37.3
4.415190172485524,-14.660563220367614,3.10,37.3
4.799573425990014,-14.636910486036037,3.17,37.3
5.17545568572954,-14.693476687807076,4.03,37.3
5.47495755284057,-14.877822017372687,2.85,37.3
5.775904578480686,-15.057666967490439,4.03,37.3
6.041122115749854,-15.218884982125623,4.17,37.3
6.039794234412845,-15.219384162146348,12.2,37.3
6.053922995116913,-15.223086027499878,4.27,37.3
6.287024374882938,-15.230376237243535,3.68,37.3
6.423410312472395,-15.215589111012543,1.25,37.3
6.673936913905141,-15.365296751688401,3.28,37.3
