(-6.336915990551584, -13.165819024534928, -162.85464498688808)	3.30	29.5
(-6.216525372535456, -13.129673924538018, -150.67985868452803)	2.59	31.8
(-6.297976650223207, -13.18194711091816, -143.5246384725569)	3.04	37.8
(-6.158751205821424, -13.071966044186052, -143.29870433114206)	1.29	33.4
(-6.129764985423021, -13.039499757466917, -95.93215316676566)	3.21	35.9
(-6.090359213607227, -13.02350157818686, -38.75024026725051)	1.34	31.8
(-6.02018629303533, -13.05915797818755, -14.399334505323411)	3.55	43.9
(-5.884764125388365, -13.054370064901194, -14.600107422912382)	1.34	33.6
(-5.753039118575009, -13.139655829870668, -24.23543850778067)	1.41	38.6
(-5.678784745936666, -13.164778592983954, -15.375951721223736)	3.26	38.0
(-5.6147532207858575, -13.236052966234736, -46.416167727205895)	1.33	36.9
(-5.4679183516249985, -13.326790867302964, -22.55378265523498)	2.79	37.1
(-5.12528978415483, -13.484682601048494, -14.812758376910137)	4.00	37.5
(-4.757308699777047, -13.44063317209074, 21.182099225337765)	1.76	30.2
(-4.441974773164402, -13.349163918741606, 6.936775710637788)	4.24	54.0
(-4.029504394700723, -13.349300548761011, -13.718863561426776)	2.91	62.4
(-3.681299301715857, -13.488705822445091, -37.58475479020813)	4.88	31.2
(-3.403546692010718, -13.71848341731432, -45.46052685333667)	2.89	32.6
(-3.180288756725613, -14.042500699396015, -69.44629856040036)	1.53	44.4
(-3.1992422013186914, -14.426921272418564, -113.40727481200943)	3.77	26.1
(-3.436551168495239, -14.714078856394709, -135.7980692510736)	3.56	38.4
(-3.720894507898708, -14.916045940531884, -149.57712050621413)	1.39	36.8
(-4.086196124938685, -15.131436655522585, -150.7757428812061)	5.39	35.2
(-4.441862428621168, -15.309594429807085, -153.56130912679225)	3.28	35.8
(-4.763140337164545, -15.466416741568663, -153.26069426848488)	3.29	39.8
(-4.772681382883824, -15.47366589614656, -153.31033838664206)	3.36	21.1
(-4.768977216374636, -15.47252535907408, -153.3628117243163)	4.31	21.1
(-4.768977216374636, -15.47252535907408, -153.3628117243163)	4.35	23.1
(-4.772326126230024, -15.47212240046239, -153.28942748012943)	4.83	37.8
(-4.771069515101902, -15.472273602584124, -153.29767680060246)	3.80	28.0
(-4.771383330359349, -15.474881659535754, -153.42502720868202)	2.94	35.5
(-4.771383330359349, -15.474881659535754, -153.42502720868202)	2.99	35.4
(-4.771383330359349, -15.474881659535754, -153.42502720868202)	1.67	25.5
(-4.771122377098391, -15.472712928251525, -153.31583029983352)	3.97	32.5
(-4.771122377098391, -15.472712928251525, -153.31583029983352)	4.44	35.4
(-4.771122377098391, -15.472712928251525, -153.31583029983352)	3.26	35.1
(-4.769254266799462, -15.471174921694391, -153.2783572109559)	3.24	33.8
(-4.771311952646976, -15.47122353535632, -153.0989242134532)	3.29	45.9
(-5.16855274516913, -15.660040806901211, -151.88821085033675)	3.29	31.3
(-5.495419710459931, -15.85042733173869, -149.90992785925968)	3.86	34.6
(-5.852076760686666, -16.045680131934596, -152.78076218887605)	3.12	39.6
(-6.195360250041915, -16.208992559073387, -157.70143171396728)	5.80	45.4
(-6.543661625374066, -16.367182533733843, -157.6786368545547)	3.35	132
(-6.913093559825047, -16.51997265286626, -157.7671534264742)	3.29	28.1
(-7.0699859956176585, -16.578954327876268, -157.7099095664437)	3.08	37.9
(-7.081527566757039, -16.584258036154726, -157.82482024236128)	3.08	44.3
(-7.194901878674198, -16.63504142449913, -146.3721794491152)	2.79	55.8
(-7.281460823150923, -16.74369043188321, -108.73522497056845)	1.19	36.2
(-7.287072818368977, -16.892160033959968, -51.559150241388316)	4.83	43.2
(-7.191638665183833, -17.00549100162139, -8.135875851375607)	5.67	41.5
(-6.825785010213358, -16.969082244112712, 15.974264054291975)	1.34	32.9
(-6.456066807597544, -16.850372934513224, 12.550720477165203)	3.61	40.0
(-6.1148922014476, -16.688237702560304, 28.97726451041023)	3.48	37.0
(-5.766877221560474, -16.500450309911926, 26.102640146563473)	3.30	30.4
(-5.417112407141497, -16.30831492025292, 27.07967544818526)	3.35	28.2
(-5.093476546442857, -16.13272185989249, 30.8027432624848)	3.91	30.0
(-4.7660827723790264, -15.92828547771514, 31.874258240175504)	3.33	45.3
(-4.426337437121272, -15.748589185187319, 24.176084649188073)	7.10	46.0
(-4.048258616035967, -15.568604805708274, 31.360263409952434)	4.48	41.1
(-3.7340154359829527, -15.330836850983932, 41.69218161759737)	3.66	47.0
(-3.4234701950112045, -15.057552359564808, 42.21239539385001)	2.96	35.4
(-3.1381180805102082, -14.804590392808066, 39.19584553433848)	4.41	42.2
(-2.8332975627029664, -14.544172885722016, 38.19542902657538)	2.91	46.8
(-2.488329402649549, -14.291087748586957, 23.71785417389684)	3.37	33.7
(-2.1500933779734708, -14.230149744860153, 11.098425528375067)	3.90	41.9
(-1.7708035114160192, -14.16006518118498, 10.976289812414958)	3.88	43.2
(-1.5626122444622377, -14.119229874484803, 12.082409216582525)	3.53	26.3
